Housing,Measure Names,Measure Values,Pain-Mean Pop Bird,Population Lower  90%,Population Upper 90%
Conventional,Population Lower  90%,212.82,324.67,212.82,436.52
Conventional,Population Upper 90%,436.52,324.67,212.82,436.52
Reformed,Population Lower  90%,188.66,339.31,188.66,489.96
Reformed,Population Upper 90%,489.96,339.31,188.66,489.96
Conventional,Pain-Mean Pop Bird,,324.67,212.82,436.52
Reformed,Pain-Mean Pop Bird,,339.31,188.66,489.96
