Housing,Measure Names,Measure Values,Pain-Mean Pop Bird,Population Lower  90%,Population Upper 90%
Conventional,Population Lower  90%,33.01,50.27,33.01,67.53
Conventional,Population Upper 90%,67.53,50.27,33.01,67.53
Reformed,Population Lower  90%,6.2,17.26,6.2,28.32
Reformed,Population Upper 90%,28.32,17.26,6.2,28.32
Conventional,Pain-Mean Pop Bird,,50.27,33.01,67.53
Reformed,Pain-Mean Pop Bird,,17.26,6.2,28.32
